reference_mode,redesign_mode,backend,n_refolded_natives,median_TM,n_decoys,n_decoys_plotted,n_hidden_display_outliers,n_decoys_in_Q1,Q1_median_dockQ,Q1_median_dG,n_decoys_w_TM_gt_90,n_decoys_in_Q1_w_TM_gt_90,Q1_median_dockQ_TM_gt_90,Q1_median_dG_TM_gt_90,dockq_cutoff,delta_dg_cutoff,native_refold_tm_cutoff,source_kind,dataset_key,backend_label
refold,hotspot,esmfold2,703,95.28099855080244,700.0,696.0,4.0,572.0,0.680230860666736,16.5195,478.0,457.0,0.6959118066409159,16.628999999999998,0.49,0.0,90.0,landscape,esm_hotspot,ESM
refold,hotspot,opendde,703,96.23494626215384,702.0,700.0,2.0,546.0,0.6895842683217708,10.5335,516.0,463.0,0.700254839070621,11.253000000000004,0.49,0.0,90.0,landscape,opendde_hotspot,OpenDDE
refold,interface,esmfold2,703,95.28099855080244,700.0,693.0,7.0,486.0,0.5937779682017037,18.401,478.0,412.0,0.5984734779670235,18.8425,0.49,0.0,90.0,landscape,esm_interface,ESM
refold,interface,opendde,703,96.23494626215384,701.0,698.0,3.0,525.0,0.5944370885422251,18.948,516.0,445.0,0.5994183730612163,18.81,0.49,0.0,90.0,landscape,opendde_interface,OpenDDE
relaxed,native_refold_quality,esmfold2,703,95.28099855080244,,,,,,,,,,,0.49,0.0,90.0,native_refold_quality,,ESM
relaxed,native_refold_quality,opendde,703,96.23494626215384,,,,,,,,,,,0.49,0.0,90.0,native_refold_quality,,OpenDDE
crystal,native_refold_quality,esmfold2,705,95.25719757743512,,,,,,,,,,,0.49,0.0,90.0,native_refold_quality,,ESM
crystal,native_refold_quality,opendde,705,96.21586584342448,,,,,,,,,,,0.49,0.0,90.0,native_refold_quality,,OpenDDE
